,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,4,ECS,G1,4,LNX,3Y,FU, SAR 61.88 ,,ECS,G1,4,WIN,3Y,FU, SAR 174.13 ,,ECS,G1,4,RH,3Y,FU, SAR 245.40 
2,2,8,ECS,G1,8,LNX,3Y,FU, SAR 123.76 ,,ECS,G1,8,WIN,3Y,FU, SAR 348.25 ,,ECS,G1,8,RH,3Y,FU, SAR 307.28 
3,4,16,ECS,G1,16,LNX,3Y,FU, SAR 247.52 ,,ECS,G1,16,WIN,3Y,FU, SAR 696.51 ,,ECS,G1,16,RH,3Y,FU, SAR 431.04 
4,6,24,ECS,G1,24,LNX,3Y,FU, SAR 371.27 ,,ECS,G1,24,WIN,3Y,FU," SAR 1,044.76 ",,ECS,G1,24,RH,3Y,FU, SAR 554.79 
5,8,32,ECS,G1,32,LNX,3Y,FU, SAR 495.03 ,,ECS,G1,32,WIN,3Y,FU," SAR 1,393.02 ",,ECS,G1,32,RH,3Y,FU, SAR 678.55 
6,10,40,ECS,G1,40,LNX,3Y,FU, SAR 618.79 ,,ECS,G1,40,WIN,3Y,FU," SAR 1,741.27 ",,ECS,G1,40,RH,3Y,FU, SAR 802.31 
7,12,48,ECS,G1,48,LNX,3Y,FU, SAR 742.55 ,,ECS,G1,48,WIN,3Y,FU," SAR 2,089.53 ",,ECS,G1,48,RH,3Y,FU, SAR 926.07 
8,14,56,ECS,G1,56,LNX,3Y,FU, SAR 866.30 ,,ECS,G1,56,WIN,3Y,FU," SAR 2,437.78 ",,ECS,G1,56,RH,3Y,FU," SAR 1,049.82 "
9,16,64,ECS,G1,64,LNX,3Y,FU, SAR 990.06 ,,ECS,G1,64,WIN,3Y,FU," SAR 2,786.04 ",,ECS,G1,64,RH,3Y,FU," SAR 1,173.58 "
10,18,72,ECS,G1,72,LNX,3Y,FU," SAR 1,113.82 ",,ECS,G1,72,WIN,3Y,FU," SAR 3,134.29 ",,ECS,G1,72,RH,3Y,FU," SAR 1,519.34 "
11,20,80,ECS,G1,80,LNX,3Y,FU," SAR 1,237.58 ",,ECS,G1,80,WIN,3Y,FU," SAR 3,482.54 ",,ECS,G1,80,RH,3Y,FU," SAR 1,643.10 "
12,22,88,ECS,G1,88,LNX,3Y,FU," SAR 1,361.33 ",,ECS,G1,88,WIN,3Y,FU," SAR 3,830.80 ",,ECS,G1,88,RH,3Y,FU," SAR 1,766.85 "
13,24,96,ECS,G1,96,LNX,3Y,FU," SAR 1,485.09 ",,ECS,G1,96,WIN,3Y,FU," SAR 4,179.05 ",,ECS,G1,96,RH,3Y,FU," SAR 1,890.61 "
14,26,104,ECS,G1,104,LNX,3Y,FU," SAR 1,608.85 ",,ECS,G1,104,WIN,3Y,FU," SAR 4,527.31 ",,ECS,G1,104,RH,3Y,FU," SAR 2,014.37 "
15,28,112,ECS,G1,112,LNX,3Y,FU," SAR 1,732.61 ",,ECS,G1,112,WIN,3Y,FU," SAR 4,875.56 ",,ECS,G1,112,RH,3Y,FU," SAR 2,138.13 "
16,30,120,ECS,G1,120,LNX,3Y,FU," SAR 1,856.36 ",,ECS,G1,120,WIN,3Y,FU," SAR 5,223.82 ",,ECS,G1,120,RH,3Y,FU," SAR 2,261.88 "
17,32,128,ECS,G1,128,LNX,3Y,FU," SAR 1,980.12 ",,ECS,G1,128,WIN,3Y,FU," SAR 5,572.07 ",,ECS,G1,128,RH,3Y,FU," SAR 2,385.64 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:2),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,2,ECS,G2,2,LNX,3Y,FU, SAR 45.38 ,,ECS,G2,2,WIN,3Y,FU, SAR 139.31 ,,ECS,G2,2,RH,3Y,FU, SAR 241.30 
2,2,4,ECS,G2,4,LNX,3Y,FU, SAR 90.76 ,,ECS,G2,4,WIN,3Y,FU, SAR 278.62 ,,ECS,G2,4,RH,3Y,FU, SAR 286.68 
3,4,8,ECS,G2,8,LNX,3Y,FU, SAR 181.51 ,,ECS,G2,8,WIN,3Y,FU, SAR 557.23 ,,ECS,G2,8,RH,3Y,FU, SAR 377.43 
4,6,12,ECS,G2,12,LNX,3Y,FU, SAR 272.27 ,,ECS,G2,12,WIN,3Y,FU, SAR 835.85 ,,ECS,G2,12,RH,3Y,FU, SAR 468.19 
5,8,16,ECS,G2,16,LNX,3Y,FU, SAR 363.02 ,,ECS,G2,16,WIN,3Y,FU," SAR 1,114.46 ",,ECS,G2,16,RH,3Y,FU, SAR 558.94 
6,10,20,ECS,G2,20,LNX,3Y,FU, SAR 453.78 ,,ECS,G2,20,WIN,3Y,FU," SAR 1,393.08 ",,ECS,G2,20,RH,3Y,FU, SAR 649.70 
7,12,24,ECS,G2,24,LNX,3Y,FU, SAR 544.53 ,,ECS,G2,24,WIN,3Y,FU," SAR 1,671.70 ",,ECS,G2,24,RH,3Y,FU, SAR 740.45 
8,14,28,ECS,G2,28,LNX,3Y,FU, SAR 635.29 ,,ECS,G2,28,WIN,3Y,FU," SAR 1,950.31 ",,ECS,G2,28,RH,3Y,FU, SAR 831.21 
9,16,32,ECS,G2,32,LNX,3Y,FU, SAR 726.04 ,,ECS,G2,32,WIN,3Y,FU," SAR 2,228.93 ",,ECS,G2,32,RH,3Y,FU, SAR 921.96 
10,18,36,ECS,G2,36,LNX,3Y,FU, SAR 816.80 ,,ECS,G2,36,WIN,3Y,FU," SAR 2,507.54 ",,ECS,G2,36,RH,3Y,FU," SAR 1,249.72 "
11,20,40,ECS,G2,40,LNX,3Y,FU, SAR 907.55 ,,ECS,G2,40,WIN,3Y,FU," SAR 2,786.16 ",,ECS,G2,40,RH,3Y,FU," SAR 1,340.47 "
12,22,44,ECS,G2,44,LNX,3Y,FU, SAR 998.31 ,,ECS,G2,44,WIN,3Y,FU," SAR 3,064.78 ",,ECS,G2,44,RH,3Y,FU," SAR 1,431.23 "
13,24,48,ECS,G2,48,LNX,3Y,FU," SAR 1,089.06 ",,ECS,G2,48,WIN,3Y,FU," SAR 3,343.39 ",,ECS,G2,48,RH,3Y,FU," SAR 1,521.98 "
14,26,52,ECS,G2,52,LNX,3Y,FU," SAR 1,179.82 ",,ECS,G2,52,WIN,3Y,FU," SAR 3,622.01 ",,ECS,G2,52,RH,3Y,FU," SAR 1,612.74 "
15,28,56,ECS,G2,56,LNX,3Y,FU," SAR 1,270.57 ",,ECS,G2,56,WIN,3Y,FU," SAR 3,900.62 ",,ECS,G2,56,RH,3Y,FU," SAR 1,703.49 "
16,30,60,ECS,G2,60,LNX,3Y,FU," SAR 1,361.33 ",,ECS,G2,60,WIN,3Y,FU," SAR 4,179.24 ",,ECS,G2,60,RH,3Y,FU," SAR 1,794.25 "
17,32,64,ECS,G2,64,LNX,3Y,FU," SAR 1,452.08 ",,ECS,G2,64,WIN,3Y,FU," SAR 4,457.86 ",,ECS,G2,64,RH,3Y,FU," SAR 1,885.00 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:1),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,1,ECS,C1,1,LNX,3Y,FU, SAR 35.04 ,,ECS,C1,1,WIN,3Y,FU, SAR 100.13 ,,ECS,C1,1,RH,3Y,FU, SAR 230.96 
2,2,2,ECS,C1,2,LNX,3Y,FU, SAR 70.07 ,,ECS,C1,2,WIN,3Y,FU, SAR 200.27 ,,ECS,C1,2,RH,3Y,FU, SAR 265.99 
3,4,4,ECS,C1,4,LNX,3Y,FU, SAR 140.15 ,,ECS,C1,4,WIN,3Y,FU, SAR 400.53 ,,ECS,C1,4,RH,3Y,FU, SAR 336.07 
4,6,6,ECS,C1,6,LNX,3Y,FU, SAR 210.22 ,,ECS,C1,6,WIN,3Y,FU, SAR 600.80 ,,ECS,C1,6,RH,3Y,FU, SAR 406.14 
5,8,8,ECS,C1,8,LNX,3Y,FU, SAR 280.29 ,,ECS,C1,8,WIN,3Y,FU, SAR 801.06 ,,ECS,C1,8,RH,3Y,FU, SAR 476.21 
6,10,10,ECS,C1,10,LNX,3Y,FU, SAR 350.37 ,,ECS,C1,10,WIN,3Y,FU," SAR 1,001.33 ",,ECS,C1,10,RH,3Y,FU, SAR 546.29 
7,12,12,ECS,C1,12,LNX,3Y,FU, SAR 420.44 ,,ECS,C1,12,WIN,3Y,FU," SAR 1,201.59 ",,ECS,C1,12,RH,3Y,FU, SAR 616.36 
8,14,14,ECS,C1,14,LNX,3Y,FU, SAR 490.51 ,,ECS,C1,14,WIN,3Y,FU," SAR 1,401.86 ",,ECS,C1,14,RH,3Y,FU, SAR 686.43 
9,16,16,ECS,C1,16,LNX,3Y,FU, SAR 560.58 ,,ECS,C1,16,WIN,3Y,FU," SAR 1,602.12 ",,ECS,C1,16,RH,3Y,FU, SAR 756.50 
10,18,18,ECS,C1,18,LNX,3Y,FU, SAR 630.66 ,,ECS,C1,18,WIN,3Y,FU," SAR 1,802.39 ",,ECS,C1,18,RH,3Y,FU," SAR 1,063.58 "
11,20,20,ECS,C1,20,LNX,3Y,FU, SAR 700.73 ,,ECS,C1,20,WIN,3Y,FU," SAR 2,002.65 ",,ECS,C1,20,RH,3Y,FU," SAR 1,133.65 "
12,22,22,ECS,C1,22,LNX,3Y,FU, SAR 770.80 ,,ECS,C1,22,WIN,3Y,FU," SAR 2,202.92 ",,ECS,C1,22,RH,3Y,FU," SAR 1,203.72 "
13,24,24,ECS,C1,24,LNX,3Y,FU, SAR 840.88 ,,ECS,C1,24,WIN,3Y,FU," SAR 2,403.18 ",,ECS,C1,24,RH,3Y,FU," SAR 1,273.80 "
14,26,26,ECS,C1,26,LNX,3Y,FU, SAR 910.95 ,,ECS,C1,26,WIN,3Y,FU," SAR 2,603.45 ",,ECS,C1,26,RH,3Y,FU," SAR 1,343.87 "
15,28,28,ECS,C1,28,LNX,3Y,FU, SAR 981.02 ,,ECS,C1,28,WIN,3Y,FU," SAR 2,803.71 ",,ECS,C1,28,RH,3Y,FU," SAR 1,413.94 "
16,30,30,ECS,C1,30,LNX,3Y,FU," SAR 1,051.10 ",,ECS,C1,30,WIN,3Y,FU," SAR 3,003.98 ",,ECS,C1,30,RH,3Y,FU," SAR 1,484.02 "
17,32,32,ECS,C1,32,LNX,3Y,FU," SAR 1,121.17 ",,ECS,C1,32,WIN,3Y,FU," SAR 3,204.24 ",,ECS,C1,32,RH,3Y,FU," SAR 1,554.09 "
18,64,64,ECS,C1,64,LNX,3Y,FU," SAR 2,242.34 ",,ECS,C1,64,WIN,3Y,FU," SAR 6,408.48 ",,ECS,C1,64,RH,3Y,FU," SAR 2,675.26 "
19,128,128,ECS,C1,128,LNX,3Y,FU," SAR 4,484.67 ",,ECS,C1,128,WIN,3Y,FU," SAR 12,816.96 ",,ECS,C1,128,RH,3Y,FU," SAR 4,917.59 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:0.5),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,2,1,ECS,C2,1,LNX,3Y,FU, SAR 59.73 ,,ECS,C2,1,WIN,3Y,FU, SAR 161.09 ,,ECS,C2,1,RH,3Y,FU, SAR 255.65 
2,4,2,ECS,C2,2,LNX,3Y,FU, SAR 119.46 ,,ECS,C2,2,WIN,3Y,FU, SAR 322.18 ,,ECS,C2,2,RH,3Y,FU, SAR 315.38 
3,6,3,ECS,C2,3,LNX,3Y,FU, SAR 179.20 ,,ECS,C2,3,WIN,3Y,FU, SAR 483.27 ,,ECS,C2,3,RH,3Y,FU, SAR 375.12 
4,8,4,ECS,C2,4,LNX,3Y,FU, SAR 238.93 ,,ECS,C2,4,WIN,3Y,FU, SAR 644.36 ,,ECS,C2,4,RH,3Y,FU, SAR 434.85 
5,10,5,ECS,C2,5,LNX,3Y,FU, SAR 298.66 ,,ECS,C2,5,WIN,3Y,FU, SAR 805.45 ,,ECS,C2,5,RH,3Y,FU, SAR 494.58 
6,12,6,ECS,C2,6,LNX,3Y,FU, SAR 358.39 ,,ECS,C2,6,WIN,3Y,FU, SAR 966.54 ,,ECS,C2,6,RH,3Y,FU, SAR 554.31 
7,14,7,ECS,C2,7,LNX,3Y,FU, SAR 418.12 ,,ECS,C2,7,WIN,3Y,FU," SAR 1,127.63 ",,ECS,C2,7,RH,3Y,FU, SAR 614.04 
8,16,8,ECS,C2,8,LNX,3Y,FU, SAR 477.86 ,,ECS,C2,8,WIN,3Y,FU," SAR 1,288.72 ",,ECS,C2,8,RH,3Y,FU, SAR 673.78 
9,18,9,ECS,C2,9,LNX,3Y,FU, SAR 537.59 ,,ECS,C2,9,WIN,3Y,FU," SAR 1,449.81 ",,ECS,C2,9,RH,3Y,FU, SAR 970.51 
10,20,10,ECS,C2,10,LNX,3Y,FU, SAR 597.32 ,,ECS,C2,10,WIN,3Y,FU," SAR 1,610.90 ",,ECS,C2,10,RH,3Y,FU," SAR 1,030.24 "
11,22,11,ECS,C2,11,LNX,3Y,FU, SAR 657.05 ,,ECS,C2,11,WIN,3Y,FU," SAR 1,771.98 ",,ECS,C2,11,RH,3Y,FU," SAR 1,089.97 "
12,24,12,ECS,C2,12,LNX,3Y,FU, SAR 716.78 ,,ECS,C2,12,WIN,3Y,FU," SAR 1,933.07 ",,ECS,C2,12,RH,3Y,FU," SAR 1,149.70 "
13,26,13,ECS,C2,13,LNX,3Y,FU, SAR 776.51 ,,ECS,C2,13,WIN,3Y,FU," SAR 2,094.16 ",,ECS,C2,13,RH,3Y,FU," SAR 1,209.43 "
14,28,14,ECS,C2,14,LNX,3Y,FU, SAR 836.25 ,,ECS,C2,14,WIN,3Y,FU," SAR 2,255.25 ",,ECS,C2,14,RH,3Y,FU," SAR 1,269.17 "
15,30,15,ECS,C2,15,LNX,3Y,FU, SAR 895.98 ,,ECS,C2,15,WIN,3Y,FU," SAR 2,416.34 ",,ECS,C2,15,RH,3Y,FU," SAR 1,328.90 "
16,32,16,ECS,C2,16,LNX,3Y,FU, SAR 955.71 ,,ECS,C2,16,WIN,3Y,FU," SAR 2,577.43 ",,ECS,C2,16,RH,3Y,FU," SAR 1,388.63 "
17,34,17,ECS,C2,17,LNX,3Y,FU," SAR 1,015.44 ",,ECS,C2,17,WIN,3Y,FU," SAR 2,738.52 ",,ECS,C2,17,RH,3Y,FU," SAR 1,448.36 "
18,36,18,ECS,C2,18,LNX,3Y,FU," SAR 1,075.17 ",,ECS,C2,18,WIN,3Y,FU," SAR 2,899.61 ",,ECS,C2,18,RH,3Y,FU," SAR 1,508.09 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:8),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,8,ECS,M1,8,LNX,3Y,FU, SAR 74.79 ,,ECS,M1,8,WIN,3Y,FU, SAR 186.22 ,,ECS,M1,8,RH,3Y,FU, SAR 211.19 
2,2,16,ECS,M1,16,LNX,3Y,FU, SAR 149.58 ,,ECS,M1,16,WIN,3Y,FU, SAR 372.44 ,,ECS,M1,16,RH,3Y,FU, SAR 285.98 
3,4,32,ECS,M1,32,LNX,3Y,FU, SAR 299.16 ,,ECS,M1,32,WIN,3Y,FU, SAR 744.88 ,,ECS,M1,32,RH,3Y,FU, SAR 435.56 
4,6,48,ECS,M1,48,LNX,3Y,FU, SAR 448.73 ,,ECS,M1,48,WIN,3Y,FU," SAR 1,117.32 ",,ECS,M1,48,RH,3Y,FU, SAR 585.13 
5,8,64,ECS,M1,64,LNX,3Y,FU, SAR 598.31 ,,ECS,M1,64,WIN,3Y,FU," SAR 1,489.76 ",,ECS,M1,64,RH,3Y,FU, SAR 734.71 
6,10,80,ECS,M1,80,LNX,3Y,FU, SAR 747.89 ,,ECS,M1,80,WIN,3Y,FU," SAR 1,862.21 ",,ECS,M1,80,RH,3Y,FU, SAR 884.29 
7,12,96,ECS,M1,96,LNX,3Y,FU, SAR 897.47 ,,ECS,M1,96,WIN,3Y,FU," SAR 2,234.65 ",,ECS,M1,96,RH,3Y,FU," SAR 1,033.87 "
8,14,112,ECS,M1,112,LNX,3Y,FU," SAR 1,047.05 ",,ECS,M1,112,WIN,3Y,FU," SAR 2,607.09 ",,ECS,M1,112,RH,3Y,FU," SAR 1,183.45 "
9,16,128,ECS,M1,128,LNX,3Y,FU," SAR 1,196.62 ",,ECS,M1,128,WIN,3Y,FU," SAR 2,979.53 ",,ECS,M1,128,RH,3Y,FU," SAR 1,333.02 "
10,18,144,ECS,M1,144,LNX,3Y,FU," SAR 1,346.20 ",,ECS,M1,144,WIN,3Y,FU," SAR 3,351.97 ",,ECS,M1,144,RH,3Y,FU," SAR 1,647.60 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,
ON-DEMAND,,,,,,,,
,,,,,,,,,
Specs (1:4),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,8,ORC,G1,8,OD,MO, SAR 688.60 
2,4,16,ORC,G1,16,OD,MO," SAR 1,127.20 "
3,6,24,ORC,G1,24,OD,MO," SAR 1,565.80 "
4,8,32,ORC,G1,32,OD,MO," SAR 2,004.40 "
5,10,40,ORC,G1,40,OD,MO," SAR 2,443.00 "
6,12,48,ORC,G1,48,OD,MO," SAR 2,881.60 "
7,16,64,ORC,G1,64,OD,MO," SAR 3,758.80 "
8,32,128,ORC,G1,128,OD,MO," SAR 7,267.60 "
9,40,160,ORC,G1,160,OD,MO," SAR 9,022.00 "
10,64,256,ORC,G1,256,OD,MO," SAR 14,285.20 "
,,,,,,,,,
Specs (1:2),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,16,ORC,G2,16,OD,MO, SAR 736.44 
2,4,32,ORC,G2,32,OD,MO," SAR 1,222.88 "
3,6,48,ORC,G2,48,OD,MO," SAR 1,709.32 "
4,8,64,ORC,G2,64,OD,MO," SAR 2,195.76 "
5,10,80,ORC,G2,80,OD,MO," SAR 2,682.20 "
6,12,96,ORC,G2,96,OD,MO," SAR 3,168.64 "
7,14,112,ORC,G2,112,OD,MO," SAR 3,655.08 "
8,16,128,ORC,G2,128,OD,MO," SAR 4,141.52 "
9,32,256,ORC,G2,256,OD,MO," SAR 8,033.04 "
10,64,512,ORC,G2,512,OD,MO," SAR 15,816.08 "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1 YEAR - NO UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,8,ORC,G1,8,1Y,NU, SAR 516.45 
2,4,16,ORC,G1,16,1Y,NU, SAR 845.40 
3,6,24,ORC,G1,24,1Y,NU," SAR 1,174.35 "
4,8,32,ORC,G1,32,1Y,NU," SAR 1,503.30 "
5,10,40,ORC,G1,40,1Y,NU," SAR 1,832.25 "
6,12,48,ORC,G1,48,1Y,NU," SAR 2,161.20 "
7,16,64,ORC,G1,64,1Y,NU," SAR 2,819.10 "
8,32,128,ORC,G1,128,1Y,NU," SAR 5,450.70 "
9,40,160,ORC,G1,160,1Y,NU," SAR 6,766.50 "
10,64,256,ORC,G1,256,1Y,NU," SAR 10,713.90 "
,,,,,,,,,
Specs (1:2),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,16,ORC,G2,16,1Y,NU, SAR 552.33 
2,4,32,ORC,G2,32,1Y,NU, SAR 917.16 
3,6,48,ORC,G2,48,1Y,NU," SAR 1,281.99 "
4,8,64,ORC,G2,64,1Y,NU," SAR 1,646.82 "
5,10,80,ORC,G2,80,1Y,NU," SAR 2,011.65 "
6,12,96,ORC,G2,96,1Y,NU," SAR 2,376.48 "
7,14,112,ORC,G2,112,1Y,NU," SAR 2,741.31 "
8,16,128,ORC,G2,128,1Y,NU," SAR 3,106.14 "
9,32,256,ORC,G2,256,1Y,NU," SAR 6,024.78 "
10,64,512,ORC,G2,512,1Y,NU," SAR 11,862.06 "
,,,,,,,,,
1 YEAR - PARTIAL UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,8,ORC,G1,8,1Y,PU, SAR 482.02 
2,4,16,ORC,G1,16,1Y,PU, SAR 789.04 
3,6,24,ORC,G1,24,1Y,PU," SAR 1,096.06 "
4,8,32,ORC,G1,32,1Y,PU," SAR 1,403.08 "
5,10,40,ORC,G1,40,1Y,PU," SAR 1,710.10 "
6,12,48,ORC,G1,48,1Y,PU," SAR 2,017.12 "
7,16,64,ORC,G1,64,1Y,PU," SAR 2,631.16 "
8,32,128,ORC,G1,128,1Y,PU," SAR 5,087.32 "
9,40,160,ORC,G1,160,1Y,PU," SAR 6,315.40 "
10,64,256,ORC,G1,256,1Y,PU," SAR 9,999.64 "
,,,,,,,,,
Specs (1:2),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,16,ORC,G2,16,1Y,PU, SAR 515.51 
2,4,32,ORC,G2,32,1Y,PU, SAR 856.02 
3,6,48,ORC,G2,48,1Y,PU," SAR 1,196.52 "
4,8,64,ORC,G2,64,1Y,PU," SAR 1,537.03 "
5,10,80,ORC,G2,80,1Y,PU," SAR 1,877.54 "
6,12,96,ORC,G2,96,1Y,PU," SAR 2,218.05 "
7,14,112,ORC,G2,112,1Y,PU," SAR 2,558.56 "
8,16,128,ORC,G2,128,1Y,PU," SAR 2,899.06 "
9,32,256,ORC,G2,256,1Y,PU," SAR 5,623.13 "
10,64,512,ORC,G2,512,1Y,PU," SAR 11,071.26 "
,,,,,,,,,
1 YEAR - FULL UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,8,ORC,G1,8,1Y,FU, SAR 447.59 
2,4,16,ORC,G1,16,1Y,FU, SAR 732.68 
3,6,24,ORC,G1,24,1Y,FU," SAR 1,017.77 "
4,8,32,ORC,G1,32,1Y,FU," SAR 1,302.86 "
5,10,40,ORC,G1,40,1Y,FU," SAR 1,587.95 "
6,12,48,ORC,G1,48,1Y,FU," SAR 1,873.04 "
7,16,64,ORC,G1,64,1Y,FU," SAR 2,443.22 "
8,32,128,ORC,G1,128,1Y,FU," SAR 4,723.94 "
9,40,160,ORC,G1,160,1Y,FU," SAR 5,864.30 "
10,64,256,ORC,G1,256,1Y,FU," SAR 9,285.38 "
,,,,,,,,,
Specs (1:2),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,16,ORC,G2,16,1Y,FU, SAR 478.69 
2,4,32,ORC,G2,32,1Y,FU, SAR 794.87 
3,6,48,ORC,G2,48,1Y,FU," SAR 1,111.06 "
4,8,64,ORC,G2,64,1Y,FU," SAR 1,427.24 "
5,10,80,ORC,G2,80,1Y,FU," SAR 1,743.43 "
6,12,96,ORC,G2,96,1Y,FU," SAR 2,059.62 "
7,14,112,ORC,G2,112,1Y,FU," SAR 2,375.80 "
8,16,128,ORC,G2,128,1Y,FU," SAR 2,691.99 "
9,32,256,ORC,G2,256,1Y,FU," SAR 5,221.48 "
10,64,512,ORC,G2,512,1Y,FU," SAR 10,280.45 "
,,,,,,,,,
3 YEARS - NO UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,8,ORC,G1,8,3Y,NU, SAR 413.16 
2,4,16,ORC,G1,16,3Y,NU, SAR 676.32 
3,6,24,ORC,G1,24,3Y,NU, SAR 939.48 
4,8,32,ORC,G1,32,3Y,NU," SAR 1,202.64 "
5,10,40,ORC,G1,40,3Y,NU," SAR 1,465.80 "
6,12,48,ORC,G1,48,3Y,NU," SAR 1,728.96 "
7,16,64,ORC,G1,64,3Y,NU," SAR 2,255.28 "
8,32,128,ORC,G1,128,3Y,NU," SAR 4,360.56 "
9,40,160,ORC,G1,160,3Y,NU," SAR 5,413.20 "
10,64,256,ORC,G1,256,3Y,NU," SAR 8,571.12 "
,,,,,,,,,
Specs (1:2),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,16,ORC,G2,16,3Y,NU, SAR 441.86 
2,4,32,ORC,G2,32,3Y,NU, SAR 733.73 
3,6,48,ORC,G2,48,3Y,NU," SAR 1,025.59 "
4,8,64,ORC,G2,64,3Y,NU," SAR 1,317.46 "
5,10,80,ORC,G2,80,3Y,NU," SAR 1,609.32 "
6,12,96,ORC,G2,96,3Y,NU," SAR 1,901.18 "
7,14,112,ORC,G2,112,3Y,NU," SAR 2,193.05 "
8,16,128,ORC,G2,128,3Y,NU," SAR 2,484.91 "
9,32,256,ORC,G2,256,3Y,NU," SAR 4,819.82 "
10,64,512,ORC,G2,512,3Y,NU," SAR 9,489.65 "
,,,,,,,,,
3 YEARS - PARTIAL UPFRONT,,,,,,,,
,,,,,,,,,
Specs (1:4),,,ORACLE,,,,,
#,vCPU,RAM,Ser,Typ,Fla,Com,Mod,DETASAD New Monthly List Price
1,2,8,ORC,G1,8,3Y,PU, SAR 378.73 
2,4,16,ORC,G1,16,3Y,PU, SAR 619.96 
3,6,24,ORC,G1,24,3Y,PU, SAR 861.19 
4,8,32,ORC,G1,32,3Y,PU," SAR 1,102.42 "
5,10,40,ORC,G1,40,3Y,PU," SAR 1,343.65 "
6,12,48,ORC,G1,48,3Y,PU," SAR 1,584.88 "
7,16,64,ORC,G1,64,3Y,PU," SAR 2,067.34 "
8,32,128,ORC,G1,128,3Y,PU," SAR 3,997.18 "
9,40,160,ORC,G1,160,3Y,PU," SAR 4,962.10 "
