,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
7,12,24,ECS,G2,24,LNX,1Y,NU, SAR 896.06 ,,ECS,G2,24,WIN,1Y,NU," SAR 2,040.33 ",,ECS,G2,24,RH,1Y,NU," SAR 1,218.46 "
8,14,28,ECS,G2,28,LNX,1Y,NU," SAR 1,045.41 ",,ECS,G2,28,WIN,1Y,NU," SAR 2,380.38 ",,ECS,G2,28,RH,1Y,NU," SAR 1,367.81 "
9,16,32,ECS,G2,32,LNX,1Y,NU," SAR 1,194.75 ",,ECS,G2,32,WIN,1Y,NU," SAR 2,720.44 ",,ECS,G2,32,RH,1Y,NU," SAR 1,517.15 "
10,18,36,ECS,G2,36,LNX,1Y,NU," SAR 1,344.10 ",,ECS,G2,36,WIN,1Y,NU," SAR 3,060.49 ",,ECS,G2,36,RH,1Y,NU," SAR 2,056.50 "
11,20,40,ECS,G2,40,LNX,1Y,NU," SAR 1,493.44 ",,ECS,G2,40,WIN,1Y,NU," SAR 3,400.54 ",,ECS,G2,40,RH,1Y,NU," SAR 2,205.84 "
12,22,44,ECS,G2,44,LNX,1Y,NU," SAR 1,642.78 ",,ECS,G2,44,WIN,1Y,NU," SAR 3,740.60 ",,ECS,G2,44,RH,1Y,NU," SAR 2,355.18 "
13,24,48,ECS,G2,48,LNX,1Y,NU," SAR 1,792.13 ",,ECS,G2,48,WIN,1Y,NU," SAR 4,080.65 ",,ECS,G2,48,RH,1Y,NU," SAR 2,504.53 "
14,26,52,ECS,G2,52,LNX,1Y,NU," SAR 1,941.47 ",,ECS,G2,52,WIN,1Y,NU," SAR 4,420.71 ",,ECS,G2,52,RH,1Y,NU," SAR 2,653.87 "
15,28,56,ECS,G2,56,LNX,1Y,NU," SAR 2,090.82 ",,ECS,G2,56,WIN,1Y,NU," SAR 4,760.76 ",,ECS,G2,56,RH,1Y,NU," SAR 2,803.22 "
16,30,60,ECS,G2,60,LNX,1Y,NU," SAR 2,240.16 ",,ECS,G2,60,WIN,1Y,NU," SAR 5,100.82 ",,ECS,G2,60,RH,1Y,NU," SAR 2,952.56 "
17,32,64,ECS,G2,64,LNX,1Y,NU," SAR 2,389.50 ",,ECS,G2,64,WIN,1Y,NU," SAR 5,440.87 ",,ECS,G2,64,RH,1Y,NU," SAR 3,101.90 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:1),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,1,ECS,C1,1,LNX,1Y,NU, SAR 57.66 ,,ECS,C1,1,WIN,1Y,NU, SAR 122.21 ,,ECS,C1,1,RH,1Y,NU, SAR 380.06 
2,2,2,ECS,C1,2,LNX,1Y,NU, SAR 115.31 ,,ECS,C1,2,WIN,1Y,NU, SAR 244.43 ,,ECS,C1,2,RH,1Y,NU, SAR 437.71 
3,4,4,ECS,C1,4,LNX,1Y,NU, SAR 230.62 ,,ECS,C1,4,WIN,1Y,NU, SAR 488.85 ,,ECS,C1,4,RH,1Y,NU, SAR 553.02 
